Proposal ID,Programme Name,Lead Applicant,Research Body,Title of Research,Start Date,End Date,Revised Total Commitment (including overhead)
15/TIDA/2900,SFI Technology and Innovation Development Award (TIDA),Eugene OBrien,University College Dublin (UCD),Additive Manufactured Internally Porous Struts (IP-STRUTS),01/01/2016,31/05/2018,"129,005"
15/TIDA/2967,SFI Technology and Innovation Development Award (TIDA),Robert Forster,Dublin City University (DCU),ConfirMED: A Multifunctional Anti-Counterfeiting and Package Integrity Label,01/01/2016,31/03/2017,"129,177"
15/TIDA/2992,SFI Technology and Innovation Development Award (TIDA),Manus Biggs,"National University of Ireland, Galway (NUIG)",Biomimetic electrically conducting polymer scaffolds as novel neuromodulatory neuroelectrodes for the treatment of chronic pain,01/01/2016,31/12/2016,"129,347"
15/TIDA/2895,SFI Technology and Innovation Development Award (TIDA),Tia Keyes,Dublin City University (DCU),Organelle targeted sensing of metal ions and reactive oxygen species.,01/01/2016,31/05/2017,"129,473"
15/TIDA/2946,SFI Technology and Innovation Development Award (TIDA),Kingston Mills,Trinity College Dublin (TCD),Discovery of small molecule inhibitors of IL-17RA as therapeutics for autoimmune diseases,01/01/2016,31/12/2016,"129,562"
15/TIDA/2963,SFI Technology and Innovation Development Award (TIDA),Annette Byrne,Royal College of Surgeons in Ireland (RCSI),Improving the Efficacy of Bevacizumab (Avastin) in Glioblastoma through the Development of a Novel Anti-Invasion Nanotherapeutic,01/01/2016,30/06/2017,"129,647"
15/TIDA/2969,SFI Technology and Innovation Development Award (TIDA),Udo Greiser,University College Dublin (UCD),Targeted Drug Delivery of Disulfiram Polymer Micelles to Cancer Cells,01/01/2016,31/12/2016,"129,797"
15/TIDA/2972,SFI Technology and Innovation Development Award (TIDA),Aleksandar Jaksic,Tyndall National Institute (TNI),The world's first high-k Radiation Sensing Field Effect Transistor,01/01/2016,30/06/2017,"129,797"
15/TIDA/2918,SFI Technology and Innovation Development Award (TIDA),Aisling Dunne,Trinity College Dublin (TCD),Validation of lipoproteins/lipopeptides as adjuvants and antigens for a new pertussis vaccine,01/01/2016,31/12/2016,"130,000"
DP15 / 091,SFI Discover,Orla Feely,University College Dublin (UCD),The Scientist's Apprentice - Irish Independent Book Series November 2016,01/01/2016,31/12/2016,"143,204"
DP15 / 051,SFI Discover,Sheila Porter,Scifest Limited,SciFest,01/01/2016,31/12/2017,"200,000"
DP15 / 084,SFI Discover,Niall Smith (VPR),Cosmos Education Ltd T/A Blackrock Castle Observatory,Driving STEM Learning and Awareness using Space as the Theme,01/01/2016,31/12/2017,"200,000"
DP15 / 110,SFI Discover,Daniel Vincent McCarthy,The Festival of Curiosity Ltd,The Festival of Curiosity 2016 and 2017,01/01/2016,31/12/2017,"200,000"
DP15 / 015,SFI Discover,Vincent Wade,Trinity College Dublin (TCD),The Problem-Solving Initiative (PSI),01/01/2016,31/12/2017,"220,000"
15/RI/3230,SFI Research Infrastructure Programme,Kieran Moran,Dublin City University (DCU),Indoors and Outdoors Motion Analysis System,01/01/2016,31/12/2016,"223,910"
15/RI/3215,SFI Research Infrastructure Programme,Stephen Gordon,University College Dublin (UCD),High throughput transcriptomics for animal disease and zoonoses,01/01/2016,31/12/2016,"239,850"
15/RI/3228,SFI Research Infrastructure Programme,Paul Cotter,Teagasc,NextSeq DNA sequencing platform,01/01/2016,31/12/2016,"242,675"
15/ERCS/3261,SFI ERC Support Programme,VP Research (UCD),University College Dublin (UCD),SFI ERC Support Programme – Madeleine Lowery (University College Dublin),01/01/2016,31/12/2020,"245,130"
15/ERCS/3260,SFI ERC Support Programme,VP Research (UCD),University College Dublin (UCD),SFI ERC Support Programme – Lorraine Brennan (University College Dublin),01/01/2016,31/12/2020,"248,993"
15/ERCS/3267,SFI ERC Support Programme,Dean of Research (TCD),Trinity College Dublin (TCD),SFI ERC Support Programme – Redmond O'Connell (Trinity),01/01/2016,31/12/2020,"276,531"
15/ERCS/3268,SFI ERC Support Programme,Dean of Research (TCD),Trinity College Dublin (TCD),SFI ERC Support Programme – Sarah McCormack (Trinity),01/01/2016,31/12/2020,"291,692"
15/ERCS/3276,SFI ERC Support Programme,Lokesh Joshi,"National University of Ireland, Galway (NUIG)",BIOELECPRO: Frontier Research on the Dielectric Properties of Biological Tissue,01/01/2016,31/12/2020,"297,075"
15/ERCS/3269,SFI ERC Support Programme,Dean of Research (TCD),Trinity College Dublin (TCD),SFI ERC Support Programme – Mark Ahearne (Trinity),01/01/2016,31/12/2020,"299,747"
15/ERCS/3271,SFI ERC Support Programme,Dean of Research (TCD),Trinity College Dublin (TCD),SFI ERC Support Programme – Daniel Kelly (Trinity),01/01/2016,31/12/2020,"300,000"
15/ERCS/3272,SFI ERC Support Programme,Dean of Research (TCD),Trinity College Dublin (TCD),SFI ERC Support Programme – Wolfgang Schmitt (Trinity),01/01/2016,31/12/2020,"300,000"
15/ERCS/3273,SFI ERC Support Programme,Dean of Research (TCD),Trinity College Dublin (TCD),SFI ERC Support Programme – Triona Lally (Trinity),01/01/2016,31/12/2020,"300,000"
15/RI/3238,SFI Research Infrastructure Programme,Louise Kenny,University College Cork (UCC),INFANT Biobank,01/01/2016,31/12/2017,"355,171"
DP15 / 075,SFI Discover,Sylvia Leatham,The Institution of Engineers of Ireland,Engineers Ireland STEPS programme 2016 & 2017: Engineering Futures,01/01/2016,31/12/2017,"420,000"
14/RS-URF/3219,Royal Society – Science Foundation Ireland University Research Fellowship,Jonathan Mackey,The Royal Society - Grant,Massive Stars in the Interstellar Medium,01/01/2016,31/12/2020,"497,162"
15/BIAP/3194,SFI Strategic Partnership Programme,Martin Steinhoff,University College Dublin (UCD),Development of an antibody therapeutic for the treatment of neuropathic pain and chronic pruritus (itch),01/01/2016,31/12/2018,"509,761"
15/BIAP/3185,SFI Strategic Partnership Programme,Leonie Young,Royal College of Surgeons in Ireland (RCSI),Development of a novel biotherapeutic for the treatment of ER-positive primary and metastatic breast cancer,01/01/2016,31/12/2018,"514,150"
15/BIAP/3181,SFI Strategic Partnership Programme,Anne Moore,University College Cork (UCC),A novel antibody approach to enhance T-cell activation for cancer therapy,01/01/2016,31/12/2018,"520,000"
15/RI/3225,SFI Research Infrastructure Programme,Ronan Farrell,"National University of Ireland, Maynooth (NUIM)",RadioSpace: An experimental Radio Testbed for 5G and the Internet of Things,01/01/2016,30/09/2017,"538,808"
15/US-C2C/I3133,SFI US Ireland R&D Partnership,Kieran Hodnett,University of Limerick (UL),Partnership in continuous manufacturing for nano-based drug products,01/01/2016,31/12/2019,"548,550"
14/RS-URF/3218,Royal Society – Science Foundation Ireland University Research Fellowship,Pauline Scanlan,The Royal Society - Grant,Bacteria-bacteriophage antagonistic coevolution in the gut,01/01/2016,31/12/2020,"550,562"
15/RI/3227,SFI Research Infrastructure Programme,Balz Kamber,Trinity College Dublin (TCD),Geosciences Electron Beam Mineral Analyser - GeoRise,01/01/2016,31/12/2016,"636,161"
15/RI/3226,SFI Research Infrastructure Programme,Peter O'Brien,Tyndall National Institute (TNI),High Accuracy Photonic Device Flipchip Packaging and Assembly System,01/01/2016,31/12/2016,"741,700"
15/RI/3221,SFI Research Infrastructure Programme,Anita Maguire,University College Cork (UCC),"Process Flow Spectroscopy (ProSpect); Advanced Reaction Understanding using Flow Nuclear Magnetic Resonance (NMR) and Infrared (IR) Spectroscopies, with On-Line Ultra-Performance Liquid Chromatography (UPLC) and Mass Spectrometry (MS)",01/01/2016,30/06/2017,"1,041,394"
15/SPP/3244,SFI Strategic Partnership Programme,Orla Hardiman,Trinity College Dublin (TCD),"Project MinE Ireland: sequencing and analysis of 1,050 Irish genomes to identify the causes of amyotrophic lateral sclerosis",01/01/2016,31/12/2018,"1,045,962"
15/RI/3209,SFI Research Infrastructure Programme,John Wenger,University College Cork (UCC),Irish Atmospheric Simulation Chamber (IASC) Facility,01/01/2016,31/12/2017,"1,067,431"
15/RI/3207,SFI Research Infrastructure Programme,Jennifer McElwain,University College Dublin (UCD),Integrated Plant Phenomics & Future Experimental Climate Platform,01/01/2016,31/12/2017,"1,308,255"
15/RI/3204,SFI Research Infrastructure Programme,Peter Gallagher,Trinity College Dublin (TCD),Connecting Ireland to the International Low Frequency Array (LOFAR),01/01/2016,30/06/2017,"1,397,348"
15/RI/3222,SFI Research Infrastructure Programme,Paul Townsend,Tyndall National Institute (TNI),400 Gigabit-per-second and Beyond Advanced Modulation Coherent Communications Testbed,01/01/2016,31/03/2017,"1,454,865"
15/RI/3239,SFI Research Infrastructure Programme,Geraldine Boylan,University College Cork (UCC),INFANT Discovery Platform,01/01/2016,31/12/2017,"1,548,236"
13/IA/1840(T),SFI Investigator Programme,Andreas Heise,Royal College of Surgeons in Ireland (RCSI),Functional polymers for (nano)medical devices,01/01/2016,30/06/2019,"1,662,928"
15/RI/3219,SFI Research Infrastructure Programme,Linda Doyle,Trinity College Dublin (TCD),"Pervasive Nation – a unique, extensible, National scale, Open IoT (internet of Things) highly distributed Testbed platform for IoT Research, Research integration, Experimentation and Technology Readiness Level improvement .",01/01/2016,30/11/2017,"1,811,778"
15/RI/3232,SFI Research Infrastructure Programme,Daniel J F Toal,University of Limerick (UL),"MRE ROV for Challenging (Wave, Tidal, Wind) Conditions",01/01/2016,31/12/2016,"1,955,742"
15/RI/3202,SFI Research Infrastructure Programme,Jimmy Murphy,University College Cork (UCC),Towards ESFRI - Open Ocean Emulator for Grid Integrated next generation Marine Renewable Energy systems @ LIR National Ocean Test Facility,01/01/2016,31/12/2017,"2,230,860"
15/RI/3220,SFI Research Infrastructure Programme,Kieran Hodnett,University of Limerick (UL),Crystallisation Isolation and Drying Technology Test Bed (CIDT2),01/01/2016,30/06/2017,"2,466,420"
15/RI/3234,SFI Research Infrastructure Programme,Christopher Bean,Dublin Institute for Advanced Studies (DIAS),Insitu Marine Laboratory for Geosystems Research (iMARL).,01/01/2016,31/12/2016,"2,856,176"
15/RI/3218,SFI Research Infrastructure Programme,Plamen Stamenov,Trinity College Dublin (TCD),Trifolium Dubium – A Flexible Deposition Tool for Complex Thin-film Stacks of Metallic and Dielectric Materials,01/01/2016,31/12/2016,"3,240,000"
15/RI/3217,SFI Research Infrastructure Programme,Stefano Sanvito,Trinity College Dublin (TCD),Additive Manufacturing Nano-Materials Facility (3DAMN),01/01/2016,31/05/2017,"3,336,623"
