Proposal ID,Programme Name,Lead Applicant,Research Body,Title of Research,Start Date,End Date,Revised Total Commitment (including overhead)
DP15/114,SFI Discover,Stephen Rooke,Tile Films,A Rough Guide to the Future,01/04/2016,31/01/2017,"150,000"
14/US/B3116,SFI US Ireland R&D Partnership,Philip Cummins,Dublin City University (DCU),COMP.Ang1: Vascular Normalization and Neuroprotection for Diabetic Retinopathy,01/04/2016,31/03/2020,"442,086"
15/JP-HDHL/3270,EU Joint Programming Initiative,John Cryan,University College Cork (UCC),A Menu for Brain Responses Opposing Stress-Induced Alternations in Cognition (AMBROSIAC),01/04/2016,31/03/2019,"499,493"
15/ERCS/3287,SFI ERC Support Programme,Lokesh Joshi,"National University of Ireland, Galway (NUIG)",SFI ERC Support Programme – Martin O Donnell (NUIG),29/03/2016,28/03/2021,"296,768"
13/IA/1881s,SFI Maternity Allowance,Jochen Prehn,Royal College of Surgeons in Ireland (RCSI),BCL-2 family proteins and cellular bioenergetics in the control of cell survival: Towards novel predictive and prognostic markers for disease progression and therapy responses in colorectal cancer patients?,28/03/2016,27/09/2016,"22,861"
12/RC/2272s6,SFI Maternity Allowance,Louise Kenny,University College Cork (UCC),Irish Centre for Fetal and Neonatal Translational Research (INFANT),28/03/2016,27/09/2016,"32,820"
09/SRC/E1780s,SFI Maternity Allowance,Mark O'Malley,University College Dublin (UCD),SRC SEES: Sustainable Electrical Energy Systems,14/03/2016,13/09/2016,"54,086"
15/CW/3669,SFI Conference and Workshop,Roisin Loughran,University College Dublin (UCD),"Music Technology Workshop 2016 (MusTWork16): Establishing a Partnership Between Music Technology, Business Analytics and Industry in Ireland",01/03/2016,31/08/2016,500
16/CW/3780,SFI Conference and Workshop,Sejong Park,"National University of Ireland, Galway (NUIG)",Groups in Galway 2016,01/03/2016,31/08/2016,"3,350"
15/CW/3657,SFI Conference and Workshop,Kevin Burke,University of Limerick (UL),36th Conference on Applied Statistics in Ireland,01/03/2016,31/08/2016,"5,450"
12/RC/2278s4,SFI Maternity Allowance,Michael Morris,Trinity College Dublin (TCD),Advanced Materials and BioEngineering Research Centre (AMBER),01/03/2016,31/05/2016,"18,326"
14/US/I3110,SFI US Ireland R&D Partnership,Luiz DaSilva,Trinity College Dublin (TCD),Enabling Cellular Network to Exploit Millimeter-wave Opportunities (NEMOs),01/03/2016,28/02/2019,"448,542"
15/WT/IA/3286,SFI-HRB-Wellcome Trust Partnership,Luke O'Neill,Health Research Board (HRB),Metabolic reprogramming in innate immunity,01/03/2016,28/02/2021,"560,651"
15/CW/3249,SFI Conference and Workshop,Patrick Harrison,University College Cork (UCC),Cystinosis Research Workshop,01/02/2016,31/07/2016,"3,000"
15/CW/3548,SFI Conference and Workshop,Kevin Mitchell,Trinity College Dublin (TCD),Synaesthesia and Cross-modal Perception. An international conference in conjunction with the UK Synaesthesia Association,01/02/2016,31/07/2016,"3,414"
15/CW/3340,SFI Conference and Workshop,Thomas Cotter,University College Cork (UCC),Cell Death and its Translational Ramifications,01/02/2016,30/09/2016,"14,696"
16/CWB/3281,SFI Conference and Workshop,Fergus Shanahan,University College Cork (UCC),Microbiome-based Foods for Health and Sustainability,01/02/2016,31/05/2016,"35,474"
15/CW/3565,SFI Conference and Workshop,Andrew Bowie,Trinity College Dublin (TCD),Keystone Symposia Conference on Myeloid Cells,01/02/2016,31/07/2016,"36,976"
15/IFA/3009,SFI Industry Fellowship,Oonagh Giggins,University College Dublin (UCD),Evaluating The Use Of Smart Sensors In Clinical Research,01/02/2016,31/01/2017,"63,868"
15/IFA/3051,SFI Industry Fellowship,Grainne O'Keeffe,"National University of Ireland, Maynooth (NUIM)",Development of an Aspergillus niger strain for industrial heterologous protein expression.,01/02/2016,31/01/2017,"75,959"
15/IFA/2925,SFI Industry Fellowship,Andrea Degasperi,University College Dublin (UCD),Integrating Heterogeneous Cell Profile Data to Improve Predictive Models of Drug Target Deconvolution in Phenotypic Screening,01/02/2016,31/01/2017,"106,214"
15/FELLOWSHIP/1024,SFI Fellowship Programme,Ollie Daniels,"National University of Ireland, Galway (NUIG)",SFI Fellowship,01/02/2016,31/01/2018,"181,007"
15/SP/3091,SFI Spokes Programme,Geraldine Boylan,University College Cork (UCC),ENRICH: Baby Enrichment Research Programme,01/02/2016,31/07/2018,"648,285"
12/RC/2289s7,SFI Maternity Allowance,Ollie Daniels,"National University of Ireland, Galway (NUIG)",INSIGHT - Irelands Big Data and Analytics Research Centre,16/01/2016,15/06/2016,"25,522"
